                
  Z                     H [1/MPC]               COMOV. DIST.        ANG.DIAM.DIST.          LUM. DIST.              GR.FAC. D               GR.FAC. F             
  59263829126276.75     7.577463054143973e+21   13895.564132076395  2.3446956325532233e-10  8.235043383366095e+17   5.673406895642665e-06   1.9114208207539929    
  58851866063829.9      7.472482152386656e+21   13895.56413207634   2.361108501981088e-10   8.177798791823295e+17   5.7490523209179495e-06  1.8862705467969139    
  58442766696951.195    7.368955693845374e+21   13895.564132076286  2.377636261494948e-10   8.120952126934714e+17   5.824697746193244e-06   1.861773526708857     
  58036511119117.32     7.266863528140073e+21   13895.56413207623   2.3942797153254045e-10  8.064500622576639e+17   5.90034317146855e-06    1.837904635341014     
  57633079562182.0      7.166185784061325e+21   13895.564132076175  2.4110396733326745e-10  8.008441531853626e+17   5.975988596743865e-06   1.8146400197040091    
  57232452395414.055    7.066902865702587e+21   13895.564132076119  2.427916951045995e-10   7.952772126964833e+17   6.051634022019191e-06   1.7919570194579375    
  56834610124542.21     6.968995448646068e+21   13895.564132076062  2.444912369703309e-10   7.897489699071297e+17   6.127279447294527e-06   1.7698340932920227    
  56439533390806.51     6.872444476201409e+21   13895.564132076004  2.462026756291224e-10   7.842591558164108e+17   6.202924872569876e-06   1.748250750691137     
  56047202970016.35     6.777231155696518e+21   13895.564132075948  2.4792609435852543e-10  7.788075032933536e+17   6.278570297845235e-06   1.7271874886348584    
  55657599771614.99     6.683336954819732e+21   13895.56413207589   2.4966157701903427e-10  7.733937470639025e+17   6.354215723120607e-06   1.7066257328180217    
  55270704837750.69     6.590743598012715e+21   13895.564132075831  2.5140920805816664e-10  7.680176236980125e+17   6.429861148395992e-06   1.6865477830204127    
  54886499342354.16     6.499433062913303e+21   13895.564132075771  2.5316907251457293e-10  7.626788715968307e+17   6.50550657367139e-06    1.6669367622878708    
  54504964590222.55     6.409387576847617e+21   13895.564132075713  2.549412560221741e-10   7.573772309799671e+17   6.581151998946802e-06   1.6477765696181537    
  54126082016109.734    6.320589613370807e+21   13895.564132075653  2.5672584481432835e-10  7.521124438728534e+17   6.656797424222228e-06   1.629051835872755     
  53749833183822.93     6.233021888855699e+21   13895.564132075593  2.585229257280277e-10   7.468842540941903e+17   6.7324428494976674e-06  1.6107478826609687    
  53376199785325.6      6.146667359128716e+21   13895.564132075533  2.60332586208123e-10    7.416924072434821e+17   6.808088274773122e-06   1.592850683965007     
  53005163639846.625    6.061509216152398e+21   13895.564132075473  2.6215491431157893e-10  7.365366506886577e+17   6.8837337000485914e-06  1.5753468302953375    
  52636706692995.61     5.977530884753886e+21   13895.564132075411  2.63989998711759e-10    7.314167335537774e+17   6.9593791253240776e-06  1.5582234951837115    
  52270811015884.37     5.89471601939874e+21    13895.56413207535   2.6583792870274036e-10  7.263324067068257e+17   7.035024550599581e-06   1.5414684038379345    
  51907458804254.53     5.813048501009435e+21   13895.564132075287  2.6769879420365857e-10  7.212834227475887e+17   7.110669975875099e-06   1.525069803797394     
